"";"ModelNumber";"Model";"Run";"Successes";"Successes_A";"Successes_B";"Allocated_A";"Allocated_B"
"126";"5. Optimal adjusted";"5. Optimal adjusted";21;380;103;277;539;461
"127";"1. Random";"1. Random";22;379;90;289;497;503
"128";"6. Biased  coin";"6. Biased  coin";22;392;100;292;501;500
"129";"2. Neyman known";"2. Neyman known";22;420;79;341;422;578
"130";"3. RSIHR Known";"3. RSIHR Known";22;433;73;360;391;609
"131";"4. Rosenberger known";"4. Rosenberger known";22;525;31;494;156;844
"132";"5. Optimal adjusted";"5. Optimal adjusted";22;365;107;258;538;462
"133";"1. Random";"1. Random";23;383;93;290;515;485
"134";"6. Biased  coin";"6. Biased  coin";23;388;89;299;502;499
"135";"2. Neyman known";"2. Neyman known";23;418;82;336;446;554
"136";"3. RSIHR Known";"3. RSIHR Known";23;427;57;370;359;641
"137";"4. Rosenberger known";"4. Rosenberger known";23;540;22;518;138;862
"138";"5. Optimal adjusted";"5. Optimal adjusted";23;403;95;308;509;491
"139";"1. Random";"1. Random";24;391;87;304;493;507
"140";"6. Biased  coin";"6. Biased  coin";24;392;92;300;505;498
"141";"2. Neyman known";"2. Neyman known";24;398;84;314;476;524
"142";"3. RSIHR Known";"3. RSIHR Known";24;434;62;372;369;631
"143";"4. Rosenberger known";"4. Rosenberger known";24;536;28;508;134;866
"144";"5. Optimal adjusted";"5. Optimal adjusted";24;364;104;260;559;441
"145";"1. Random";"1. Random";25;417;96;321;477;523
"146";"6. Biased  coin";"6. Biased  coin";25;402;99;303;502;499
"147";"2. Neyman known";"2. Neyman known";25;428;80;348;444;556
"148";"3. RSIHR Known";"3. RSIHR Known";25;459;69;390;366;634
"149";"4. Rosenberger known";"4. Rosenberger known";25;561;36;525;143;857
"150";"5. Optimal adjusted";"5. Optimal adjusted";25;386;114;272;542;458
"151";"1. Random";"1. Random";26;397;84;313;474;526
"152";"6. Biased  coin";"6. Biased  coin";26;396;94;302;499;501
"153";"2. Neyman known";"2. Neyman known";26;420;82;338;452;548
"154";"3. RSIHR Known";"3. RSIHR Known";26;442;79;363;399;601
"155";"4. Rosenberger known";"4. Rosenberger known";26;548;28;520;142;858
"156";"5. Optimal adjusted";"5. Optimal adjusted";26;356;100;256;549;451
"157";"1. Random";"1. Random";27;405;110;295;519;481
"158";"6. Biased  coin";"6. Biased  coin";27;417;108;309;499;501
"159";"2. Neyman known";"2. Neyman known";27;421;84;337;448;552
"160";"3. RSIHR Known";"3. RSIHR Known";27;451;67;384;360;640
"161";"4. Rosenberger known";"4. Rosenberger known";27;562;24;538;130;870
"162";"5. Optimal adjusted";"5. Optimal adjusted";27;393;99;294;520;480
"163";"1. Random";"1. Random";28;424;111;313;495;505
"164";"6. Biased  coin";"6. Biased  coin";28;417;108;309;500;501
"165";"2. Neyman known";"2. Neyman known";28;430;97;333;476;524
"166";"3. RSIHR Known";"3. RSIHR Known";28;491;82;409;361;639
"167";"4. Rosenberger known";"4. Rosenberger known";28;560;37;523;162;838
"168";"5. Optimal adjusted";"5. Optimal adjusted";28;391;110;281;556;444
"169";"1. Random";"1. Random";29;398;90;308;484;516
"170";"6. Biased  coin";"6. Biased  coin";29;401;105;296;500;500
"171";"2. Neyman known";"2. Neyman known";29;431;97;334;442;558
"172";"3. RSIHR Known";"3. RSIHR Known";29;449;75;374;368;632
"173";"4. Rosenberger known";"4. Rosenberger known";29;563;31;532;121;879
"174";"5. Optimal adjusted";"5. Optimal adjusted";29;394;116;278;534;466
"175";"1. Random";"1. Random";30;374;97;277;513;487
"176";"6. Biased  coin";"6. Biased  coin";30;385;86;299;500;500
"177";"2. Neyman known";"2. Neyman known";30;415;85;330;441;559
"178";"3. RSIHR Known";"3. RSIHR Known";30;456;58;398;350;650
"179";"4. Rosenberger known";"4. Rosenberger known";30;531;24;507;134;866
"180";"5. Optimal adjusted";"5. Optimal adjusted";30;374;108;266;550;450
"181";"1. Random";"1. Random";31;427;115;312;499;501
"182";"6. Biased  coin";"6. Biased  coin";31;401;106;295;503;498
"183";"2. Neyman known";"2. Neyman known";31;416;84;332;445;555
"184";"3. RSIHR Known";"3. RSIHR Known";31;455;81;374;398;602
"185";"4. Rosenberger known";"4. Rosenberger known";31;571;27;544;127;873
"186";"5. Optimal adjusted";"5. Optimal adjusted";31;385;114;271;544;456
"187";"1. Random";"1. Random";32;396;107;289;503;497
"188";"6. Biased  coin";"6. Biased  coin";32;393;96;297;500;500
"189";"2. Neyman known";"2. Neyman known";32;412;71;341;420;580
"190";"3. RSIHR Known";"3. RSIHR Known";32;434;71;363;372;628
"191";"4. Rosenberger known";"4. Rosenberger known";32;550;25;525;135;865
"192";"5. Optimal adjusted";"5. Optimal adjusted";32;382;105;277;545;455
"193";"1. Random";"1. Random";33;415;102;313;492;508
"194";"6. Biased  coin";"6. Biased  coin";33;430;103;327;500;500
"195";"2. Neyman known";"2. Neyman known";33;437;80;357;430;570
"196";"3. RSIHR Known";"3. RSIHR Known";33;474;65;409;359;641
"197";"4. Rosenberger known";"4. Rosenberger known";33;568;24;544;141;859
"198";"5. Optimal adjusted";"5. Optimal adjusted";33;392;105;287;546;454
"199";"1. Random";"1. Random";34;384;108;276;510;490
"200";"6. Biased  coin";"6. Biased  coin";34;394;95;299;501;500
"201";"2. Neyman known";"2. Neyman known";34;418;89;329;436;564
"202";"3. RSIHR Known";"3. RSIHR Known";34;448;75;373;361;639
"203";"4. Rosenberger known";"4. Rosenberger known";34;534;35;499;150;850
"204";"5. Optimal adjusted";"5. Optimal adjusted";34;396;113;283;533;467
"205";"1. Random";"1. Random";35;432;107;325;509;491
"206";"6. Biased  coin";"6. Biased  coin";35;422;110;312;501;500
"207";"2. Neyman known";"2. Neyman known";35;438;101;337;463;537
"208";"3. RSIHR Known";"3. RSIHR Known";35;477;72;405;353;647
"209";"4. Rosenberger known";"4. Rosenberger known";35;571;42;529;164;836
"210";"5. Optimal adjusted";"5. Optimal adjusted";35;396;118;278;554;446
"211";"1. Random";"1. Random";36;405;95;310;511;489
"212";"6. Biased  coin";"6. Biased  coin";36;414;92;322;502;500
"213";"2. Neyman known";"2. Neyman known";36;438;88;350;433;567
"214";"3. RSIHR Known";"3. RSIHR Known";36;482;65;417;365;635
"215";"4. Rosenberger known";"4. Rosenberger known";36;563;23;540;140;860
"216";"5. Optimal adjusted";"5. Optimal adjusted";36;375;86;289;525;475
"217";"1. Random";"1. Random";37;440;105;335;472;528
"218";"6. Biased  coin";"6. Biased  coin";37;433;105;328;502;500
"219";"2. Neyman known";"2. Neyman known";37;448;79;369;429;571
"220";"3. RSIHR Known";"3. RSIHR Known";37;477;66;411;361;639
"221";"4. Rosenberger known";"4. Rosenberger known";37;582;22;560;127;873
"222";"5. Optimal adjusted";"5. Optimal adjusted";37;413;111;302;522;478
"223";"1. Random";"1. Random";38;374;94;280;513;487
"224";"6. Biased  coin";"6. Biased  coin";38;377;96;281;500;500
"225";"2. Neyman known";"2. Neyman known";38;405;88;317;458;542
"226";"3. RSIHR Known";"3. RSIHR Known";38;444;75;369;370;630
"227";"4. Rosenberger known";"4. Rosenberger known";38;563;27;536;137;863
"228";"5. Optimal adjusted";"5. Optimal adjusted";38;388;100;288;528;472
"229";"1. Random";"1. Random";39;417;103;314;515;485
