"";"ModelNumber";"Model";"Run";"Successes";"Successes_A";"Successes_B";"Allocated_A";"Allocated_B"
"2587";"1. Random";"1. Random";432;385;91;294;513;487
"2588";"6. Biased  coin";"6. Biased  coin";432;412;104;308;504;498
"2589";"2. Neyman known";"2. Neyman known";432;427;90;337;456;544
"2590";"3. RSIHR Known";"3. RSIHR Known";432;473;76;397;351;649
"2591";"4. Rosenberger known";"4. Rosenberger known";432;553;23;530;140;860
"2592";"5. Optimal adjusted";"5. Optimal adjusted";432;374;100;274;562;438
"2593";"1. Random";"1. Random";433;401;102;299;507;493
"2594";"6. Biased  coin";"6. Biased  coin";433;420;99;321;501;500
"2595";"2. Neyman known";"2. Neyman known";433;438;98;340;448;552
"2596";"3. RSIHR Known";"3. RSIHR Known";433;486;70;416;357;643
"2597";"4. Rosenberger known";"4. Rosenberger known";433;567;30;537;147;853
"2598";"5. Optimal adjusted";"5. Optimal adjusted";433;413;104;309;529;471
"2599";"1. Random";"1. Random";434;423;99;324;488;512
"2600";"6. Biased  coin";"6. Biased  coin";434;389;86;303;501;500
"2601";"2. Neyman known";"2. Neyman known";434;425;94;331;446;554
"2602";"3. RSIHR Known";"3. RSIHR Known";434;426;64;362;400;600
"2603";"4. Rosenberger known";"4. Rosenberger known";434;551;31;520;150;850
"2604";"5. Optimal adjusted";"5. Optimal adjusted";434;392;115;277;544;456
"2605";"1. Random";"1. Random";435;406;102;304;484;516
"2606";"6. Biased  coin";"6. Biased  coin";435;377;94;283;500;500
"2607";"2. Neyman known";"2. Neyman known";435;412;80;332;436;564
"2608";"3. RSIHR Known";"3. RSIHR Known";435;446;78;368;383;617
"2609";"4. Rosenberger known";"4. Rosenberger known";435;558;36;522;150;850
"2610";"5. Optimal adjusted";"5. Optimal adjusted";435;363;95;268;551;449
"2611";"1. Random";"1. Random";436;397;100;297;504;496
"2612";"6. Biased  coin";"6. Biased  coin";436;398;98;300;499;501
"2613";"2. Neyman known";"2. Neyman known";436;415;82;333;443;557
"2614";"3. RSIHR Known";"3. RSIHR Known";436;483;81;402;364;636
"2615";"4. Rosenberger known";"4. Rosenberger known";436;543;20;523;148;852
"2616";"5. Optimal adjusted";"5. Optimal adjusted";436;388;108;280;531;469
"2617";"1. Random";"1. Random";437;400;86;314;504;496
"2618";"6. Biased  coin";"6. Biased  coin";437;390;91;299;499;501
"2619";"2. Neyman known";"2. Neyman known";437;412;91;321;462;538
"2620";"3. RSIHR Known";"3. RSIHR Known";437;439;75;364;385;615
"2621";"4. Rosenberger known";"4. Rosenberger known";437;522;20;502;148;852
"2622";"5. Optimal adjusted";"5. Optimal adjusted";437;379;90;289;525;475
"2623";"1. Random";"1. Random";438;373;95;278;504;496
"2624";"6. Biased  coin";"6. Biased  coin";438;388;94;294;499;501
"2625";"2. Neyman known";"2. Neyman known";438;400;80;320;438;562
"2626";"3. RSIHR Known";"3. RSIHR Known";438;449;79;370;379;621
"2627";"4. Rosenberger known";"4. Rosenberger known";438;529;30;499;154;846
"2628";"5. Optimal adjusted";"5. Optimal adjusted";438;402;109;293;510;490
"2629";"1. Random";"1. Random";439;390;92;298;516;484
"2630";"6. Biased  coin";"6. Biased  coin";439;405;94;311;500;500
"2631";"2. Neyman known";"2. Neyman known";439;414;91;323;465;535
"2632";"3. RSIHR Known";"3. RSIHR Known";439;428;72;356;399;601
"2633";"4. Rosenberger known";"4. Rosenberger known";439;535;26;509;145;855
"2634";"5. Optimal adjusted";"5. Optimal adjusted";439;373;99;274;535;465
"2635";"1. Random";"1. Random";440;398;98;300;514;486
"2636";"6. Biased  coin";"6. Biased  coin";440;417;108;309;502;499
"2637";"2. Neyman known";"2. Neyman known";440;429;108;321;483;517
"2638";"3. RSIHR Known";"3. RSIHR Known";440;456;68;388;351;649
"2639";"4. Rosenberger known";"4. Rosenberger known";440;541;24;517;146;854
"2640";"5. Optimal adjusted";"5. Optimal adjusted";440;402;119;283;532;468
"2641";"1. Random";"1. Random";441;397;104;293;500;500
"2642";"6. Biased  coin";"6. Biased  coin";441;410;107;303;500;500
"2643";"2. Neyman known";"2. Neyman known";441;441;102;339;455;545
"2644";"3. RSIHR Known";"3. RSIHR Known";441;469;74;395;355;645
"2645";"4. Rosenberger known";"4. Rosenberger known";441;550;19;531;125;875
"2646";"5. Optimal adjusted";"5. Optimal adjusted";441;385;108;277;536;464
"2647";"1. Random";"1. Random";442;411;102;309;491;509
"2648";"6. Biased  coin";"6. Biased  coin";442;401;87;314;501;500
"2649";"2. Neyman known";"2. Neyman known";442;447;86;361;442;558
"2650";"3. RSIHR Known";"3. RSIHR Known";442;490;86;404;372;628
"2651";"4. Rosenberger known";"4. Rosenberger known";442;564;30;534;144;856
"2652";"5. Optimal adjusted";"5. Optimal adjusted";442;388;110;278;559;441
"2653";"1. Random";"1. Random";443;401;98;303;523;477
"2654";"6. Biased  coin";"6. Biased  coin";443;423;112;311;500;500
"2655";"2. Neyman known";"2. Neyman known";443;437;106;331;479;521
"2656";"3. RSIHR Known";"3. RSIHR Known";443;464;75;389;380;620
"2657";"4. Rosenberger known";"4. Rosenberger known";443;563;32;531;143;857
"2658";"5. Optimal adjusted";"5. Optimal adjusted";443;412;115;297;521;479
"2659";"1. Random";"1. Random";444;411;107;304;496;504
"2660";"6. Biased  coin";"6. Biased  coin";444;418;105;313;499;501
"2661";"2. Neyman known";"2. Neyman known";444;403;96;307;447;553
"2662";"3. RSIHR Known";"3. RSIHR Known";444;462;78;384;350;650
"2663";"4. Rosenberger known";"4. Rosenberger known";444;537;19;518;130;870
"2664";"5. Optimal adjusted";"5. Optimal adjusted";444;364;114;250;543;457
"2665";"1. Random";"1. Random";445;391;112;279;534;466
"2666";"6. Biased  coin";"6. Biased  coin";445;381;99;282;499;501
"2667";"2. Neyman known";"2. Neyman known";445;434;104;330;458;542
"2668";"3. RSIHR Known";"3. RSIHR Known";445;463;82;381;376;624
"2669";"4. Rosenberger known";"4. Rosenberger known";445;530;25;505;155;845
"2670";"5. Optimal adjusted";"5. Optimal adjusted";445;400;110;290;528;472
"2671";"1. Random";"1. Random";446;385;98;287;507;493
"2672";"6. Biased  coin";"6. Biased  coin";446;379;90;289;502;500
"2673";"2. Neyman known";"2. Neyman known";446;418;93;325;427;573
"2674";"3. RSIHR Known";"3. RSIHR Known";446;451;85;366;392;608
"2675";"4. Rosenberger known";"4. Rosenberger known";446;539;28;511;136;864
"2676";"5. Optimal adjusted";"5. Optimal adjusted";446;374;108;266;546;454
"2677";"1. Random";"1. Random";447;418;102;316;499;501
"2678";"6. Biased  coin";"6. Biased  coin";447;426;99;327;501;499
"2679";"2. Neyman known";"2. Neyman known";447;446;96;350;439;561
"2680";"3. RSIHR Known";"3. RSIHR Known";447;460;81;379;364;636
"2681";"4. Rosenberger known";"4. Rosenberger known";447;539;23;516;154;846
"2682";"5. Optimal adjusted";"5. Optimal adjusted";447;392;110;282;546;454
"2683";"1. Random";"1. Random";448;408;100;308;482;518
"2684";"6. Biased  coin";"6. Biased  coin";448;394;96;298;501;499
"2685";"2. Neyman known";"2. Neyman known";448;404;84;320;459;541
"2686";"3. RSIHR Known";"3. RSIHR Known";448;441;67;374;368;632
"2687";"4. Rosenberger known";"4. Rosenberger known";448;533;30;503;149;851
"2688";"5. Optimal adjusted";"5. Optimal adjusted";448;394;118;276;549;451
"2689";"1. Random";"1. Random";449;405;105;300;502;498
"2690";"6. Biased  coin";"6. Biased  coin";449;401;101;300;500;500
"2691";"2. Neyman known";"2. Neyman known";449;413;92;321;464;536
"2692";"3. RSIHR Known";"3. RSIHR Known";449;436;53;383;352;648
"2693";"4. Rosenberger known";"4. Rosenberger known";449;553;34;519;158;842
"2694";"5. Optimal adjusted";"5. Optimal adjusted";449;404;94;310;500;500
"2695";"1. Random";"1. Random";450;409;95;314;501;499
"2696";"6. Biased  coin";"6. Biased  coin";450;399;101;298;500;500
"2697";"2. Neyman known";"2. Neyman known";450;442;100;342;447;553
"2698";"3. RSIHR Known";"3. RSIHR Known";450;454;70;384;373;627
"2699";"4. Rosenberger known";"4. Rosenberger known";450;545;27;518;138;862
"2700";"5. Optimal adjusted";"5. Optimal adjusted";450;395;106;289;545;455
"2701";"1. Random";"1. Random";451;409;98;311;497;503
"2702";"6. Biased  coin";"6. Biased  coin";451;411;101;310;500;500
"2703";"2. Neyman known";"2. Neyman known";451;431;86;345;432;568
"2704";"3. RSIHR Known";"3. RSIHR Known";451;458;73;385;373;627
"2705";"4. Rosenberger known";"4. Rosenberger known";451;542;25;517;134;866
"2706";"5. Optimal adjusted";"5. Optimal adjusted";451;371;108;263;558;442
"2707";"1. Random";"1. Random";452;402;90;312;494;506
"2708";"6. Biased  coin";"6. Biased  coin";452;415;103;312;501;499
"2709";"2. Neyman known";"2. Neyman known";452;409;77;332;444;556
"2710";"3. RSIHR Known";"3. RSIHR Known";452;445;63;382;383;617
"2711";"4. Rosenberger known";"4. Rosenberger known";452;548;23;525;141;859
"2712";"5. Optimal adjusted";"5. Optimal adjusted";452;384;107;277;546;454
"2713";"1. Random";"1. Random";453;400;95;305;488;512
"2714";"6. Biased  coin";"6. Biased  coin";453;401;91;310;500;500
"2715";"2. Neyman known";"2. Neyman known";453;431;91;340;452;548
"2716";"3. RSIHR Known";"3. RSIHR Known";453;466;76;390;366;634
"2717";"4. Rosenberger known";"4. Rosenberger known";453;564;24;540;139;861
"2718";"5. Optimal adjusted";"5. Optimal adjusted";453;381;96;285;511;489
"2719";"1. Random";"1. Random";454;416;115;301;504;496
"2720";"6. Biased  coin";"6. Biased  coin";454;400;100;300;500;500
"2721";"2. Neyman known";"2. Neyman known";454;423;101;322;454;546
"2722";"3. RSIHR Known";"3. RSIHR Known";454;442;76;366;370;630
"2723";"4. Rosenberger known";"4. Rosenberger known";454;531;28;503;142;858
"2724";"5. Optimal adjusted";"5. Optimal adjusted";454;372;104;268;542;458
"2725";"1. Random";"1. Random";455;390;88;302;500;500
"2726";"6. Biased  coin";"6. Biased  coin";455;390;85;305;500;502
"2727";"2. Neyman known";"2. Neyman known";455;415;78;337;445;555
"2728";"3. RSIHR Known";"3. RSIHR Known";455;458;62;396;345;655
"2729";"4. Rosenberger known";"4. Rosenberger known";455;535;22;513;139;861
"2730";"5. Optimal adjusted";"5. Optimal adjusted";455;375;96;279;534;466
"2731";"1. Random";"1. Random";456;388;80;308;480;520
"2732";"6. Biased  coin";"6. Biased  coin";456;395;101;294;501;500
"2733";"2. Neyman known";"2. Neyman known";456;403;83;320;459;541
"2734";"3. RSIHR Known";"3. RSIHR Known";456;449;69;380;385;615
"2735";"4. Rosenberger known";"4. Rosenberger known";456;542;23;519;136;864
"2736";"5. Optimal adjusted";"5. Optimal adjusted";456;378;100;278;544;456
"2737";"1. Random";"1. Random";457;398;90;308;489;511
"2738";"6. Biased  coin";"6. Biased  coin";457;406;91;315;502;500
"2739";"2. Neyman known";"2. Neyman known";457;405;80;325;461;539
"2740";"3. RSIHR Known";"3. RSIHR Known";457;443;72;371;391;609
"2741";"4. Rosenberger known";"4. Rosenberger known";457;546;18;528;128;872
"2742";"5. Optimal adjusted";"5. Optimal adjusted";457;390;99;291;534;466
"2743";"1. Random";"1. Random";458;363;82;281;508;492
"2744";"6. Biased  coin";"6. Biased  coin";458;406;97;309;501;500
"2745";"2. Neyman known";"2. Neyman known";458;402;78;324;449;551
"2746";"3. RSIHR Known";"3. RSIHR Known";458;448;56;392;345;655
"2747";"4. Rosenberger known";"4. Rosenberger known";458;527;18;509;142;858
"2748";"5. Optimal adjusted";"5. Optimal adjusted";458;366;99;267;548;452
"2749";"1. Random";"1. Random";459;417;104;313;506;494
"2750";"6. Biased  coin";"6. Biased  coin";459;409;91;318;498;502
"2751";"2. Neyman known";"2. Neyman known";459;439;84;355;435;565
"2752";"3. RSIHR Known";"3. RSIHR Known";459;487;95;392;410;590
"2753";"4. Rosenberger known";"4. Rosenberger known";459;591;31;560;140;860
"2754";"5. Optimal adjusted";"5. Optimal adjusted";459;398;104;294;538;462
"2755";"1. Random";"1. Random";460;415;98;317;473;527
"2756";"6. Biased  coin";"6. Biased  coin";460;401;103;298;500;500
"2757";"2. Neyman known";"2. Neyman known";460;424;107;317;461;539
"2758";"3. RSIHR Known";"3. RSIHR Known";460;452;79;373;379;621
"2759";"4. Rosenberger known";"4. Rosenberger known";460;553;31;522;143;857
"2760";"5. Optimal adjusted";"5. Optimal adjusted";460;395;112;283;548;452
"2761";"1. Random";"1. Random";461;392;103;289;525;475
"2762";"6. Biased  coin";"6. Biased  coin";461;405;100;305;500;500
"2763";"2. Neyman known";"2. Neyman known";461;431;97;334;459;541
"2764";"3. RSIHR Known";"3. RSIHR Known";461;484;61;423;347;653
"2765";"4. Rosenberger known";"4. Rosenberger known";461;557;26;531;140;860
"2766";"5. Optimal adjusted";"5. Optimal adjusted";461;381;96;285;540;460
"2767";"1. Random";"1. Random";462;394;103;291;518;482
"2768";"6. Biased  coin";"6. Biased  coin";462;395;98;297;500;501
"2769";"2. Neyman known";"2. Neyman known";462;418;81;337;428;572
"2770";"3. RSIHR Known";"3. RSIHR Known";462;459;83;376;360;640
"2771";"4. Rosenberger known";"4. Rosenberger known";462;537;39;498;155;845
"2772";"5. Optimal adjusted";"5. Optimal adjusted";462;398;105;293;511;489
"2773";"1. Random";"1. Random";463;392;95;297;505;495
"2774";"6. Biased  coin";"6. Biased  coin";463;382;92;290;502;499
"2775";"2. Neyman known";"2. Neyman known";463;393;71;322;453;547
"2776";"3. RSIHR Known";"3. RSIHR Known";463;442;62;380;346;654
"2777";"4. Rosenberger known";"4. Rosenberger known";463;540;22;518;134;866
"2778";"5. Optimal adjusted";"5. Optimal adjusted";463;388;106;282;550;450
"2779";"1. Random";"1. Random";464;416;106;310;504;496
"2780";"6. Biased  coin";"6. Biased  coin";464;407;104;303;498;503
"2781";"2. Neyman known";"2. Neyman known";464;431;100;331;462;538
"2782";"3. RSIHR Known";"3. RSIHR Known";464;462;76;386;365;635
"2783";"4. Rosenberger known";"4. Rosenberger known";464;563;34;529;155;845
"2784";"5. Optimal adjusted";"5. Optimal adjusted";464;411;118;293;517;483
"2785";"1. Random";"1. Random";465;419;102;317;483;517
"2786";"6. Biased  coin";"6. Biased  coin";465;398;98;300;502;500
"2787";"2. Neyman known";"2. Neyman known";465;405;82;323;456;544
"2788";"3. RSIHR Known";"3. RSIHR Known";465;455;79;376;378;622
"2789";"4. Rosenberger known";"4. Rosenberger known";465;538;27;511;150;850
"2790";"5. Optimal adjusted";"5. Optimal adjusted";465;392;100;292;539;461
"2791";"1. Random";"1. Random";466;409;105;304;489;511
"2792";"6. Biased  coin";"6. Biased  coin";466;397;106;291;501;500
"2793";"2. Neyman known";"2. Neyman known";466;435;93;342;444;556
"2794";"3. RSIHR Known";"3. RSIHR Known";466;472;81;391;350;650
"2795";"4. Rosenberger known";"4. Rosenberger known";466;551;37;514;142;858
"2796";"5. Optimal adjusted";"5. Optimal adjusted";466;407;127;280;537;463
"2797";"1. Random";"1. Random";467;392;108;284;538;462
"2798";"6. Biased  coin";"6. Biased  coin";467;429;102;327;500;500
"2799";"2. Neyman known";"2. Neyman known";467;445;80;365;437;563
"2800";"3. RSIHR Known";"3. RSIHR Known";467;476;86;390;382;618
"2801";"4. Rosenberger known";"4. Rosenberger known";467;572;30;542;137;863
"2802";"5. Optimal adjusted";"5. Optimal adjusted";467;404;110;294;542;458
"2803";"1. Random";"1. Random";468;372;98;274;536;464
"2804";"6. Biased  coin";"6. Biased  coin";468;405;106;299;500;500
"2805";"2. Neyman known";"2. Neyman known";468;402;78;324;456;544
"2806";"3. RSIHR Known";"3. RSIHR Known";468;444;67;377;386;614
"2807";"4. Rosenberger known";"4. Rosenberger known";468;532;26;506;154;846
"2808";"5. Optimal adjusted";"5. Optimal adjusted";468;400;109;291;528;472
"2809";"1. Random";"1. Random";469;401;93;308;509;491
"2810";"6. Biased  coin";"6. Biased  coin";469;406;97;309;499;501
"2811";"2. Neyman known";"2. Neyman known";469;423;83;340;457;543
"2812";"3. RSIHR Known";"3. RSIHR Known";469;464;70;394;355;645
"2813";"4. Rosenberger known";"4. Rosenberger known";469;563;28;535;136;864
"2814";"5. Optimal adjusted";"5. Optimal adjusted";469;387;98;289;535;465
"2815";"1. Random";"1. Random";470;400;104;296;502;498
"2816";"6. Biased  coin";"6. Biased  coin";470;388;103;285;501;499
"2817";"2. Neyman known";"2. Neyman known";470;434;88;346;412;588
"2818";"3. RSIHR Known";"3. RSIHR Known";470;452;79;373;373;627
"2819";"4. Rosenberger known";"4. Rosenberger known";470;542;36;506;140;860
"2820";"5. Optimal adjusted";"5. Optimal adjusted";470;387;108;279;513;487
"2821";"1. Random";"1. Random";471;393;94;299;512;488
"2822";"6. Biased  coin";"6. Biased  coin";471;376;85;291;501;499
"2823";"2. Neyman known";"2. Neyman known";471;417;84;333;439;561
"2824";"3. RSIHR Known";"3. RSIHR Known";471;461;71;390;351;649
"2825";"4. Rosenberger known";"4. Rosenberger known";471;534;34;500;163;837
"2826";"5. Optimal adjusted";"5. Optimal adjusted";471;375;103;272;534;466
"2827";"1. Random";"1. Random";472;390;96;294;520;480
"2828";"6. Biased  coin";"6. Biased  coin";472;401;93;308;500;500
"2829";"2. Neyman known";"2. Neyman known";472;442;90;352;441;559
"2830";"3. RSIHR Known";"3. RSIHR Known";472;469;66;403;341;659
"2831";"4. Rosenberger known";"4. Rosenberger known";472;560;27;533;135;865
"2832";"5. Optimal adjusted";"5. Optimal adjusted";472;372;102;270;540;460
"2833";"1. Random";"1. Random";473;401;109;292;509;491
"2834";"6. Biased  coin";"6. Biased  coin";473;407;111;296;501;500
"2835";"2. Neyman known";"2. Neyman known";473;412;97;315;457;543
"2836";"3. RSIHR Known";"3. RSIHR Known";473;466;79;387;364;636
"2837";"4. Rosenberger known";"4. Rosenberger known";473;544;26;518;135;865
"2838";"5. Optimal adjusted";"5. Optimal adjusted";473;377;109;268;530;470
"2839";"1. Random";"1. Random";474;372;101;271;524;476
"2840";"6. Biased  coin";"6. Biased  coin";474;394;109;285;501;500
"2841";"2. Neyman known";"2. Neyman known";474;411;85;326;447;553
"2842";"3. RSIHR Known";"3. RSIHR Known";474;451;65;386;342;658
"2843";"4. Rosenberger known";"4. Rosenberger known";474;522;28;494;163;837
"2844";"5. Optimal adjusted";"5. Optimal adjusted";474;392;105;287;521;479
"2845";"1. Random";"1. Random";475;384;96;288;512;488
"2846";"6. Biased  coin";"6. Biased  coin";475;384;87;297;500;500
"2847";"2. Neyman known";"2. Neyman known";475;408;78;330;447;553
"2848";"3. RSIHR Known";"3. RSIHR Known";475;433;64;369;386;614
"2849";"4. Rosenberger known";"4. Rosenberger known";475;530;21;509;129;871
"2850";"5. Optimal adjusted";"5. Optimal adjusted";475;375;93;282;533;467
"2851";"1. Random";"1. Random";476;400;99;301;499;501
"2852";"6. Biased  coin";"6. Biased  coin";476;390;99;291;502;498
"2853";"2. Neyman known";"2. Neyman known";476;410;84;326;445;555
"2854";"3. RSIHR Known";"3. RSIHR Known";476;450;79;371;387;613
"2855";"4. Rosenberger known";"4. Rosenberger known";476;540;26;514;143;857
"2856";"5. Optimal adjusted";"5. Optimal adjusted";476;373;98;275;539;461
"2857";"1. Random";"1. Random";477;402;95;307;501;499
"2858";"6. Biased  coin";"6. Biased  coin";477;389;86;303;500;500
"2859";"2. Neyman known";"2. Neyman known";477;403;66;337;440;560
"2860";"3. RSIHR Known";"3. RSIHR Known";477;450;74;376;377;623
"2861";"4. Rosenberger known";"4. Rosenberger known";477;530;28;502;153;847
"2862";"5. Optimal adjusted";"5. Optimal adjusted";477;357;97;260;567;433
"2863";"1. Random";"1. Random";478;394;103;291;498;502
"2864";"6. Biased  coin";"6. Biased  coin";478;390;100;290;499;501
"2865";"2. Neyman known";"2. Neyman known";478;422;89;333;442;558
"2866";"3. RSIHR Known";"3. RSIHR Known";478;460;80;380;366;634
"2867";"4. Rosenberger known";"4. Rosenberger known";478;542;35;507;147;853
"2868";"5. Optimal adjusted";"5. Optimal adjusted";478;371;109;262;553;447
"2869";"1. Random";"1. Random";479;373;85;288;494;506
"2870";"6. Biased  coin";"6. Biased  coin";479;394;88;306;501;500
"2871";"2. Neyman known";"2. Neyman known";479;396;78;318;462;538
"2872";"3. RSIHR Known";"3. RSIHR Known";479;469;68;401;336;664
"2873";"4. Rosenberger known";"4. Rosenberger known";479;531;28;503;148;852
"2874";"5. Optimal adjusted";"5. Optimal adjusted";479;378;98;280;532;468
"2875";"1. Random";"1. Random";480;413;103;310;481;519
"2876";"6. Biased  coin";"6. Biased  coin";480;387;102;285;502;500
"2877";"2. Neyman known";"2. Neyman known";480;411;106;305;460;540
"2878";"3. RSIHR Known";"3. RSIHR Known";480;452;84;368;380;620
"2879";"4. Rosenberger known";"4. Rosenberger known";480;539;37;502;161;839
"2880";"5. Optimal adjusted";"5. Optimal adjusted";480;365;106;259;553;447
"2881";"1. Random";"1. Random";481;404;113;291;501;499
"2882";"6. Biased  coin";"6. Biased  coin";481;394;104;290;500;500
"2883";"2. Neyman known";"2. Neyman known";481;416;101;315;493;507
"2884";"3. RSIHR Known";"3. RSIHR Known";481;467;73;394;379;621
"2885";"4. Rosenberger known";"4. Rosenberger known";481;555;43;512;164;836
"2886";"5. Optimal adjusted";"5. Optimal adjusted";481;409;113;296;510;490
"2887";"1. Random";"1. Random";482;382;87;295;473;527
"2888";"6. Biased  coin";"6. Biased  coin";482;400;110;290;501;500
"2889";"2. Neyman known";"2. Neyman known";482;378;92;286;470;530
"2890";"3. RSIHR Known";"3. RSIHR Known";482;439;75;364;374;626
"2891";"4. Rosenberger known";"4. Rosenberger known";482;512;21;491;137;863
"2892";"5. Optimal adjusted";"5. Optimal adjusted";482;345;90;255;525;475
"2893";"1. Random";"1. Random";483;390;114;276;503;497
"2894";"6. Biased  coin";"6. Biased  coin";483;413;121;292;501;500
"2895";"2. Neyman known";"2. Neyman known";483;422;94;328;436;564
"2896";"3. RSIHR Known";"3. RSIHR Known";483;461;89;372;362;638
"2897";"4. Rosenberger known";"4. Rosenberger known";483;533;27;506;124;876
"2898";"5. Optimal adjusted";"5. Optimal adjusted";483;407;134;273;540;460
"2899";"1. Random";"1. Random";484;379;92;287;507;493
"2900";"6. Biased  coin";"6. Biased  coin";484;403;98;305;499;501
"2901";"2. Neyman known";"2. Neyman known";484;403;68;335;417;583
"2902";"3. RSIHR Known";"3. RSIHR Known";484;440;67;373;385;615
"2903";"4. Rosenberger known";"4. Rosenberger known";484;540;28;512;140;860
"2904";"5. Optimal adjusted";"5. Optimal adjusted";484;395;108;287;517;483
"2905";"1. Random";"1. Random";485;392;89;303;500;500
"2906";"6. Biased  coin";"6. Biased  coin";485;394;86;308;503;500
"2907";"2. Neyman known";"2. Neyman known";485;430;82;348;439;561
"2908";"3. RSIHR Known";"3. RSIHR Known";485;443;62;381;355;645
"2909";"4. Rosenberger known";"4. Rosenberger known";485;553;28;525;144;856
"2910";"5. Optimal adjusted";"5. Optimal adjusted";485;382;94;288;534;466
"2911";"1. Random";"1. Random";486;383;84;299;482;518
"2912";"6. Biased  coin";"6. Biased  coin";486;401;100;301;503;498
"2913";"2. Neyman known";"2. Neyman known";486;430;95;335;447;553
"2914";"3. RSIHR Known";"3. RSIHR Known";486;470;73;397;363;637
"2915";"4. Rosenberger known";"4. Rosenberger known";486;536;23;513;152;848
"2916";"5. Optimal adjusted";"5. Optimal adjusted";486;389;96;293;522;478
"2917";"1. Random";"1. Random";487;388;92;296;502;498
"2918";"6. Biased  coin";"6. Biased  coin";487;387;93;294;500;500
"2919";"2. Neyman known";"2. Neyman known";487;417;76;341;443;557
"2920";"3. RSIHR Known";"3. RSIHR Known";487;444;61;383;363;637
"2921";"4. Rosenberger known";"4. Rosenberger known";487;545;31;514;138;862
"2922";"5. Optimal adjusted";"5. Optimal adjusted";487;379;82;297;514;486
"2923";"1. Random";"1. Random";488;393;93;300;508;492
"2924";"6. Biased  coin";"6. Biased  coin";488;401;100;301;500;500
"2925";"2. Neyman known";"2. Neyman known";488;410;77;333;426;574
"2926";"3. RSIHR Known";"3. RSIHR Known";488;451;83;368;404;596
"2927";"4. Rosenberger known";"4. Rosenberger known";488;552;32;520;150;850
"2928";"5. Optimal adjusted";"5. Optimal adjusted";488;388;105;283;529;471
"2929";"1. Random";"1. Random";489;398;102;296;504;496
"2930";"6. Biased  coin";"6. Biased  coin";489;415;102;313;501;500
"2931";"2. Neyman known";"2. Neyman known";489;416;86;330;448;552
"2932";"3. RSIHR Known";"3. RSIHR Known";489;463;65;398;346;654
"2933";"4. Rosenberger known";"4. Rosenberger known";489;539;19;520;132;868
"2934";"5. Optimal adjusted";"5. Optimal adjusted";489;368;117;251;552;448
"2935";"1. Random";"1. Random";490;401;84;317;504;496
"2936";"6. Biased  coin";"6. Biased  coin";490;399;88;311;501;499
"2937";"2. Neyman known";"2. Neyman known";490;426;82;344;448;552
"2938";"3. RSIHR Known";"3. RSIHR Known";490;483;57;426;330;670
"2939";"4. Rosenberger known";"4. Rosenberger known";490;563;24;539;125;875
"2940";"5. Optimal adjusted";"5. Optimal adjusted";490;398;99;299;510;490
"2941";"1. Random";"1. Random";491;396;102;294;490;510
"2942";"6. Biased  coin";"6. Biased  coin";491;391;99;292;501;499
"2943";"2. Neyman known";"2. Neyman known";491;420;96;324;436;564
"2944";"3. RSIHR Known";"3. RSIHR Known";491;415;77;338;389;611
"2945";"4. Rosenberger known";"4. Rosenberger known";491;527;33;494;144;856
"2946";"5. Optimal adjusted";"5. Optimal adjusted";491;381;122;259;548;452
"2947";"1. Random";"1. Random";492;397;106;291;532;468
"2948";"6. Biased  coin";"6. Biased  coin";492;426;111;315;501;500
"2949";"2. Neyman known";"2. Neyman known";492;439;97;342;458;542
"2950";"3. RSIHR Known";"3. RSIHR Known";492;453;73;380;364;636
"2951";"4. Rosenberger known";"4. Rosenberger known";492;564;34;530;148;852
"2952";"5. Optimal adjusted";"5. Optimal adjusted";492;375;102;273;549;451
"2953";"1. Random";"1. Random";493;394;98;296;503;497
"2954";"6. Biased  coin";"6. Biased  coin";493;402;102;300;502;499
"2955";"2. Neyman known";"2. Neyman known";493;418;79;339;436;564
"2956";"3. RSIHR Known";"3. RSIHR Known";493;449;73;376;365;635
"2957";"4. Rosenberger known";"4. Rosenberger known";493;553;38;515;143;857
"2958";"5. Optimal adjusted";"5. Optimal adjusted";493;401;117;284;529;471
"2959";"1. Random";"1. Random";494;407;112;295;508;492
"2960";"6. Biased  coin";"6. Biased  coin";494;399;98;301;499;501
"2961";"2. Neyman known";"2. Neyman known";494;422;85;337;434;566
"2962";"3. RSIHR Known";"3. RSIHR Known";494;441;77;364;377;623
"2963";"4. Rosenberger known";"4. Rosenberger known";494;545;27;518;141;859
"2964";"5. Optimal adjusted";"5. Optimal adjusted";494;355;108;247;570;430
"2965";"1. Random";"1. Random";495;396;91;305;492;508
"2966";"6. Biased  coin";"6. Biased  coin";495;402;92;310;501;499
"2967";"2. Neyman known";"2. Neyman known";495;408;76;332;441;559
"2968";"3. RSIHR Known";"3. RSIHR Known";495;466;61;405;339;661
"2969";"4. Rosenberger known";"4. Rosenberger known";495;553;27;526;123;877
"2970";"5. Optimal adjusted";"5. Optimal adjusted";495;367;81;286;518;482
"2971";"1. Random";"1. Random";496;408;112;296;533;467
"2972";"6. Biased  coin";"6. Biased  coin";496;396;83;313;499;501
"2973";"2. Neyman known";"2. Neyman known";496;436;87;349;447;553
"2974";"3. RSIHR Known";"3. RSIHR Known";496;474;67;407;351;649
"2975";"4. Rosenberger known";"4. Rosenberger known";496;551;30;521;154;846
"2976";"5. Optimal adjusted";"5. Optimal adjusted";496;387;103;284;537;463
"2977";"1. Random";"1. Random";497;387;100;287;515;485
