"";"Model";"Successes";"Successes_A";"Successes_B";"Allocated_A";"Allocated_B"
"3336";"5. Optimal adjusted";376;108;268;554;446
"3337";"1. Random";403;101;302;502;498
"3338";"6. Biased  coin";386;93;293;501;500
"3339";"2. Neyman known";424;82;342;427;573
"3340";"3. RSIHR Known";454;71;383;340;660
"3341";"4. Rosenberger known";531;27;504;143;857
"3342";"5. Optimal adjusted";362;117;245;574;426
"3343";"1. Random";380;89;291;494;506
"3344";"6. Biased  coin";400;94;306;498;502
"3345";"2. Neyman known";392;74;318;451;549
"3346";"3. RSIHR Known";455;76;379;356;644
"3347";"4. Rosenberger known";517;23;494;156;844
"3348";"5. Optimal adjusted";355;96;259;531;469
"3349";"1. Random";392;98;294;501;499
"3350";"6. Biased  coin";386;96;290;502;500
"3351";"2. Neyman known";411;93;318;463;537
"3352";"3. RSIHR Known";458;71;387;349;651
"3353";"4. Rosenberger known";558;27;531;135;865
"3354";"5. Optimal adjusted";384;101;283;530;470
"3355";"1. Random";408;98;310;493;507
"3356";"6. Biased  coin";380;93;287;501;500
"3357";"2. Neyman known";414;91;323;470;530
"3358";"3. RSIHR Known";439;70;369;377;623
"3359";"4. Rosenberger known";539;31;508;146;854
"3360";"5. Optimal adjusted";365;104;261;547;453
"3361";"1. Random";355;79;276;482;518
"3362";"6. Biased  coin";391;91;300;500;500
"3363";"2. Neyman known";380;79;301;458;542
"3364";"3. RSIHR Known";419;55;364;373;627
"3365";"4. Rosenberger known";506;22;484;141;859
"3366";"5. Optimal adjusted";334;96;238;561;439
"3367";"1. Random";400;99;301;490;510
"3368";"6. Biased  coin";405;107;298;501;500
"3369";"2. Neyman known";405;83;322;465;535
"3370";"3. RSIHR Known";475;78;397;362;638
"3371";"4. Rosenberger known";543;27;516;140;860
"3372";"5. Optimal adjusted";401;110;291;507;493
"3373";"1. Random";377;105;272;518;482
"3374";"6. Biased  coin";396;101;295;499;501
"3375";"2. Neyman known";409;88;321;453;547
"3376";"3. RSIHR Known";430;79;351;383;617
"3377";"4. Rosenberger known";517;26;491;155;845
"3378";"5. Optimal adjusted";365;98;267;533;467
"3379";"1. Random";423;116;307;507;493
"3380";"6. Biased  coin";402;104;298;496;504
"3381";"2. Neyman known";420;100;320;450;550
"3382";"3. RSIHR Known";449;86;363;366;634
"3383";"4. Rosenberger known";527;30;497;140;860
"3384";"5. Optimal adjusted";380;123;257;529;471
"3385";"1. Random";383;114;269;507;493
"3386";"6. Biased  coin";379;100;279;499;501
"3387";"2. Neyman known";400;97;303;445;555
"3388";"3. RSIHR Known";445;72;373;350;650
"3389";"4. Rosenberger known";508;40;468;174;826
"3390";"5. Optimal adjusted";377;111;266;540;460
"3391";"1. Random";387;101;286;509;491
"3392";"6. Biased  coin";382;104;278;502;500
"3393";"2. Neyman known";397;80;317;445;555
"3394";"3. RSIHR Known";439;75;364;386;614
"3395";"4. Rosenberger known";538;27;511;128;872
"3396";"5. Optimal adjusted";386;110;276;538;462
"3397";"1. Random";420;109;311;482;518
"3398";"6. Biased  coin";409;110;299;502;500
"3399";"2. Neyman known";429;103;326;450;550
"3400";"3. RSIHR Known";465;81;384;374;626
"3401";"4. Rosenberger known";539;34;505;160;840
"3402";"5. Optimal adjusted";399;120;279;530;470
"3403";"1. Random";413;99;314;510;490
"3404";"6. Biased  coin";385;84;301;500;500
"3405";"2. Neyman known";405;90;315;471;529
"3406";"3. RSIHR Known";466;64;402;361;639
"3407";"4. Rosenberger known";542;32;510;146;854
"3408";"5. Optimal adjusted";371;98;273;540;460
"3409";"1. Random";429;116;313;493;507
"3410";"6. Biased  coin";442;117;325;502;500
"3411";"2. Neyman known";438;96;342;459;541
"3412";"3. RSIHR Known";465;79;386;362;638
"3413";"4. Rosenberger known";561;34;527;149;851
"3414";"5. Optimal adjusted";407;129;278;543;457
"3415";"1. Random";408;94;314;481;519
"3416";"6. Biased  coin";396;99;297;500;502
"3417";"2. Neyman known";424;90;334;445;555
"3418";"3. RSIHR Known";474;73;401;356;644
"3419";"4. Rosenberger known";550;30;520;142;858
"3420";"5. Optimal adjusted";385;94;291;522;478
"3421";"1. Random";388;95;293;502;498
"3422";"6. Biased  coin";401;106;295;499;501
"3423";"2. Neyman known";411;96;315;478;522
"3424";"3. RSIHR Known";452;68;384;359;641
"3425";"4. Rosenberger known";550;28;522;130;870
"3426";"5. Optimal adjusted";387;105;282;511;489
"3427";"1. Random";388;102;286;517;483
"3428";"6. Biased  coin";393;101;292;500;501
"3429";"2. Neyman known";413;96;317;458;542
"3430";"3. RSIHR Known";446;66;380;356;644
"3431";"4. Rosenberger known";531;31;500;134;866
"3432";"5. Optimal adjusted";382;106;276;524;476
"3433";"1. Random";411;100;311;496;504
"3434";"6. Biased  coin";392;102;290;500;500
"3435";"2. Neyman known";416;93;323;459;541
"3436";"3. RSIHR Known";437;70;367;365;635
"3437";"4. Rosenberger known";537;31;506;145;855
"3438";"5. Optimal adjusted";351;92;259;540;460
"3439";"1. Random";397;89;308;481;519
"3440";"6. Biased  coin";388;95;293;500;500
"3441";"2. Neyman known";438;90;348;429;571
"3442";"3. RSIHR Known";437;69;368;363;637
"3443";"4. Rosenberger known";523;22;501;141;859
"3444";"5. Optimal adjusted";377;99;278;536;464
"3445";"1. Random";420;96;324;493;507
"3446";"6. Biased  coin";419;106;313;500;500
"3447";"2. Neyman known";437;82;355;431;569
"3448";"3. RSIHR Known";480;80;400;352;648
"3449";"4. Rosenberger known";562;23;539;138;862
"3450";"5. Optimal adjusted";384;100;284;548;452
"3451";"1. Random";420;109;311;488;512
"3452";"6. Biased  coin";392;100;292;500;501
"3453";"2. Neyman known";407;96;311;446;554
"3454";"3. RSIHR Known";446;87;359;378;622
"3455";"4. Rosenberger known";526;29;497;138;862
"3456";"5. Optimal adjusted";384;109;275;524;476
"3457";"1. Random";373;88;285;505;495
"3458";"6. Biased  coin";390;98;292;501;500
"3459";"2. Neyman known";423;90;333;451;549
"3460";"3. RSIHR Known";470;57;413;323;677
"3461";"4. Rosenberger known";555;27;528;125;875
"3462";"5. Optimal adjusted";385;105;280;520;480
"3463";"1. Random";392;108;284;508;492
"3464";"6. Biased  coin";386;107;279;506;496
"3465";"2. Neyman known";414;93;321;451;549
"3466";"3. RSIHR Known";449;76;373;375;625
"3467";"4. Rosenberger known";536;32;504;147;853
"3468";"5. Optimal adjusted";387;109;278;516;484
"3469";"1. Random";382;95;287;498;502
"3470";"6. Biased  coin";422;114;308;502;499
"3471";"2. Neyman known";416;92;324;433;567
"3472";"3. RSIHR Known";455;67;388;339;661
"3473";"4. Rosenberger known";527;26;501;144;856
"3474";"5. Optimal adjusted";384;111;273;543;457
"3475";"1. Random";387;85;302;478;522
"3476";"6. Biased  coin";381;84;297;502;500
"3477";"2. Neyman known";394;83;311;456;544
"3478";"3. RSIHR Known";443;84;359;391;609
"3479";"4. Rosenberger known";539;34;505;152;848
"3480";"5. Optimal adjusted";398;102;296;523;477
"3481";"1. Random";402;98;304;510;490
"3482";"6. Biased  coin";406;92;314;499;502
"3483";"2. Neyman known";409;83;326;473;527
"3484";"3. RSIHR Known";480;69;411;351;649
"3485";"4. Rosenberger known";568;36;532;159;841
"3486";"5. Optimal adjusted";396;106;290;551;449
"3487";"1. Random";439;112;327;490;510
"3488";"6. Biased  coin";429;113;316;496;504
"3489";"2. Neyman known";431;80;351;412;588
"3490";"3. RSIHR Known";465;86;379;381;619
"3491";"4. Rosenberger known";551;35;516;145;855
"3492";"5. Optimal adjusted";398;108;290;536;464
"3493";"1. Random";438;100;338;472;528
"3494";"6. Biased  coin";404;95;309;500;501
"3495";"2. Neyman known";430;99;331;459;541
"3496";"3. RSIHR Known";471;71;400;369;631
"3497";"4. Rosenberger known";554;30;524;153;847
"3498";"5. Optimal adjusted";393;103;290;533;467
"3499";"1. Random";376;98;278;526;474
"3500";"6. Biased  coin";400;100;300;501;500
"3501";"2. Neyman known";419;82;337;441;559
"3502";"3. RSIHR Known";461;74;387;353;647
"3503";"4. Rosenberger known";555;31;524;135;865
"3504";"5. Optimal adjusted";380;86;294;514;486
"3505";"1. Random";401;108;293;492;508
"3506";"6. Biased  coin";408;118;290;500;501
"3507";"2. Neyman known";436;103;333;445;555
"3508";"3. RSIHR Known";432;68;364;353;647
"3509";"4. Rosenberger known";517;25;492;141;859
"3510";"5. Optimal adjusted";399;129;270;550;450
"3511";"1. Random";385;91;294;509;491
"3512";"6. Biased  coin";420;105;315;500;500
"3513";"2. Neyman known";419;82;337;442;558
"3514";"3. RSIHR Known";457;70;387;369;631
"3515";"4. Rosenberger known";543;19;524;123;877
"3516";"5. Optimal adjusted";374;108;266;555;445
"3517";"1. Random";401;99;302;491;509
"3518";"6. Biased  coin";380;92;288;500;500
"3519";"2. Neyman known";405;93;312;461;539
"3520";"3. RSIHR Known";448;79;369;392;608
"3521";"4. Rosenberger known";553;33;520;135;865
"3522";"5. Optimal adjusted";390;109;281;524;476
"3523";"1. Random";421;103;318;485;515
"3524";"6. Biased  coin";407;105;302;502;498
"3525";"2. Neyman known";406;96;310;480;520
"3526";"3. RSIHR Known";468;87;381;383;617
"3527";"4. Rosenberger known";535;26;509;146;854
"3528";"5. Optimal adjusted";389;125;264;553;447
"3529";"1. Random";430;110;320;464;536
"3530";"6. Biased  coin";420;118;302;499;501
"3531";"2. Neyman known";433;109;324;469;531
"3532";"3. RSIHR Known";483;89;394;361;639
"3533";"4. Rosenberger known";550;26;524;130;870
"3534";"5. Optimal adjusted";385;108;277;545;455
"3535";"1. Random";372;110;262;518;482
"3536";"6. Biased  coin";385;96;289;499;501
"3537";"2. Neyman known";412;94;318;438;562
"3538";"3. RSIHR Known";432;78;354;376;624
"3539";"4. Rosenberger known";505;29;476;159;841
"3540";"5. Optimal adjusted";401;105;296;507;493
"3541";"1. Random";388;104;284;539;461
"3542";"6. Biased  coin";409;108;301;500;500
"3543";"2. Neyman known";430;107;323;437;563
"3544";"3. RSIHR Known";470;74;396;352;648
"3545";"4. Rosenberger known";545;35;510;138;862
"3546";"5. Optimal adjusted";382;105;277;526;474
"3547";"1. Random";425;99;326;491;509
"3548";"6. Biased  coin";413;96;317;500;500
"3549";"2. Neyman known";423;100;323;479;521
"3550";"3. RSIHR Known";472;69;403;364;636
"3551";"4. Rosenberger known";566;19;547;125;875
"3552";"5. Optimal adjusted";383;102;281;549;451
"3553";"1. Random";430;96;334;482;518
"3554";"6. Biased  coin";423;105;318;500;500
"3555";"2. Neyman known";420;99;321;481;519
"3556";"3. RSIHR Known";485;71;414;334;666
"3557";"4. Rosenberger known";573;27;546;141;859
"3558";"5. Optimal adjusted";403;103;300;521;479
"3559";"1. Random";394;94;300;498;502
"3560";"6. Biased  coin";409;103;306;500;500
"3561";"2. Neyman known";420;100;320;452;548
"3562";"3. RSIHR Known";448;74;374;367;633
"3563";"4. Rosenberger known";540;33;507;153;847
"3564";"5. Optimal adjusted";366;103;263;537;463
"3565";"1. Random";406;108;298;491;509
"3566";"6. Biased  coin";405;113;292;500;500
"3567";"2. Neyman known";438;106;332;448;552
"3568";"3. RSIHR Known";437;83;354;378;622
"3569";"4. Rosenberger known";539;33;506;149;851
"3570";"5. Optimal adjusted";392;115;277;524;476
"3571";"1. Random";406;103;303;494;506
"3572";"6. Biased  coin";375;94;281;501;500
"3573";"2. Neyman known";416;83;333;428;572
"3574";"3. RSIHR Known";447;63;384;349;651
"3575";"4. Rosenberger known";537;24;513;146;854
"3576";"5. Optimal adjusted";373;95;278;526;474
"3577";"1. Random";402;103;299;497;503
"3578";"6. Biased  coin";400;102;298;501;499
"3579";"2. Neyman known";420;91;329;458;542
"3580";"3. RSIHR Known";462;84;378;359;641
"3581";"4. Rosenberger known";522;21;501;144;856
"3582";"5. Optimal adjusted";385;107;278;524;476
"3583";"1. Random";392;93;299;485;515
"3584";"6. Biased  coin";414;106;308;500;500
"3585";"2. Neyman known";396;96;300;471;529
"3586";"3. RSIHR Known";435;73;362;383;617
"3587";"4. Rosenberger known";541;32;509;147;853
"3588";"5. Optimal adjusted";383;117;266;562;438
"3589";"1. Random";386;100;286;495;505
"3590";"6. Biased  coin";416;111;305;504;500
"3591";"2. Neyman known";401;102;299;472;528
"3592";"3. RSIHR Known";459;89;370;356;644
"3593";"4. Rosenberger known";537;28;509;125;875
"3594";"5. Optimal adjusted";380;111;269;538;462
"3595";"1. Random";428;104;324;494;506
"3596";"6. Biased  coin";404;98;306;501;500
"3597";"2. Neyman known";426;93;333;464;536
"3598";"3. RSIHR Known";468;70;398;348;652
"3599";"4. Rosenberger known";561;32;529;147;853
"3600";"5. Optimal adjusted";381;116;265;559;441
"3601";"1. Random";392;91;301;474;526
"3602";"6. Biased  coin";402;99;303;501;500
"3603";"2. Neyman known";424;94;330;449;551
"3604";"3. RSIHR Known";439;69;370;362;638
"3605";"4. Rosenberger known";539;22;517;134;866
"3606";"5. Optimal adjusted";382;115;267;569;431
"3607";"1. Random";383;95;288;483;517
"3608";"6. Biased  coin";363;83;280;500;500
"3609";"2. Neyman known";422;87;335;432;568
"3610";"3. RSIHR Known";429;68;361;368;632
"3611";"4. Rosenberger known";520;24;496;141;859
"3612";"5. Optimal adjusted";359;98;261;552;448
"3613";"1. Random";390;97;293;504;496
"3614";"6. Biased  coin";402;106;296;501;500
"3615";"2. Neyman known";415;92;323;445;555
"3616";"3. RSIHR Known";450;60;390;351;649
"3617";"4. Rosenberger known";534;31;503;149;851
"3618";"5. Optimal adjusted";405;106;299;516;484
"3619";"1. Random";409;113;296;494;506
"3620";"6. Biased  coin";397;102;295;501;500
"3621";"2. Neyman known";415;81;334;429;571
"3622";"3. RSIHR Known";453;77;376;371;629
"3623";"4. Rosenberger known";548;38;510;159;841
"3624";"5. Optimal adjusted";409;108;301;514;486
"3625";"1. Random";413;115;298;526;474
"3626";"6. Biased  coin";417;108;309;498;502
"3627";"2. Neyman known";388;92;296;464;536
"3628";"3. RSIHR Known";437;77;360;377;623
"3629";"4. Rosenberger known";529;22;507;140;860
"3630";"5. Optimal adjusted";372;108;264;539;461
"3631";"1. Random";406;102;304;493;507
"3632";"6. Biased  coin";403;101;302;500;501
"3633";"2. Neyman known";416;86;330;443;557
"3634";"3. RSIHR Known";452;72;380;366;634
"3635";"4. Rosenberger known";537;31;506;150;850
"3636";"5. Optimal adjusted";377;116;261;540;460
"3637";"1. Random";378;93;285;508;492
"3638";"6. Biased  coin";380;102;278;502;499
"3639";"2. Neyman known";413;84;329;454;546
"3640";"3. RSIHR Known";430;74;356;376;624
"3641";"4. Rosenberger known";521;24;497;145;855
"3642";"5. Optimal adjusted";374;112;262;537;463
"3643";"1. Random";410;91;319;473;527
"3644";"6. Biased  coin";412;97;315;501;500
"3645";"2. Neyman known";433;98;335;456;544
"3646";"3. RSIHR Known";448;72;376;373;627
"3647";"4. Rosenberger known";544;25;519;142;858
"3648";"5. Optimal adjusted";411;108;303;518;482
"3649";"1. Random";413;97;316;461;539
"3650";"6. Biased  coin";401;105;296;504;498
"3651";"2. Neyman known";435;96;339;458;542
"3652";"3. RSIHR Known";467;91;376;372;628
"3653";"4. Rosenberger known";530;30;500;147;853
"3654";"5. Optimal adjusted";392;106;286;504;496
"3655";"1. Random";400;100;300;502;498
"3656";"6. Biased  coin";388;96;292;504;500
"3657";"2. Neyman known";443;86;357;430;570
"3658";"3. RSIHR Known";452;77;375;385;615
"3659";"4. Rosenberger known";550;35;515;155;845
"3660";"5. Optimal adjusted";413;119;294;531;469
"3661";"1. Random";375;91;284;479;521
"3662";"6. Biased  coin";387;103;284;501;499
"3663";"2. Neyman known";378;81;297;455;545
"3664";"3. RSIHR Known";443;65;378;330;670
"3665";"4. Rosenberger known";519;25;494;136;864
"3666";"5. Optimal adjusted";367;108;259;551;449
"3667";"1. Random";419;106;313;489;511
"3668";"6. Biased  coin";393;93;300;501;500
"3669";"2. Neyman known";428;91;337;445;555
"3670";"3. RSIHR Known";457;63;394;339;661
"3671";"4. Rosenberger known";557;37;520;149;851
"3672";"5. Optimal adjusted";355;98;257;560;440
"3673";"1. Random";401;99;302;500;500
"3674";"6. Biased  coin";376;99;277;502;499
"3675";"2. Neyman known";391;97;294;458;542
"3676";"3. RSIHR Known";446;81;365;354;646
"3677";"4. Rosenberger known";504;34;470;164;836
"3678";"5. Optimal adjusted";381;114;267;525;475
"3679";"1. Random";394;100;294;515;485
"3680";"6. Biased  coin";405;96;309;497;503
"3681";"2. Neyman known";423;92;331;477;523
"3682";"3. RSIHR Known";464;63;401;356;644
"3683";"4. Rosenberger known";552;30;522;150;850
"3684";"5. Optimal adjusted";365;106;259;561;439
"3685";"1. Random";406;100;306;480;520
"3686";"6. Biased  coin";382;98;284;502;500
"3687";"2. Neyman known";429;88;341;439;561
"3688";"3. RSIHR Known";442;77;365;371;629
"3689";"4. Rosenberger known";536;28;508;133;867
"3690";"5. Optimal adjusted";390;110;280;515;485
"3691";"1. Random";415;102;313;469;531
"3692";"6. Biased  coin";406;115;291;503;499
"3693";"2. Neyman known";390;86;304;454;546
"3694";"3. RSIHR Known";447;71;376;350;650
"3695";"4. Rosenberger known";513;29;484;154;846
"3696";"5. Optimal adjusted";390;114;276;537;463
"3697";"1. Random";384;113;271;523;477
"3698";"6. Biased  coin";382;107;275;500;500
"3699";"2. Neyman known";404;109;295;468;532
"3700";"3. RSIHR Known";433;82;351;389;611
"3701";"4. Rosenberger known";517;31;486;157;843
"3702";"5. Optimal adjusted";378;122;256;547;453
"3703";"1. Random";399;109;290;504;496
"3704";"6. Biased  coin";404;110;294;500;500
"3705";"2. Neyman known";429;108;321;450;550
"3706";"3. RSIHR Known";449;73;376;361;639
"3707";"4. Rosenberger known";558;26;532;127;873
"3708";"5. Optimal adjusted";410;119;291;528;472
"3709";"1. Random";431;123;308;481;519
"3710";"6. Biased  coin";436;132;304;501;500
"3711";"2. Neyman known";425;114;311;487;513
"3712";"3. RSIHR Known";472;84;388;365;635
"3713";"4. Rosenberger known";552;41;511;145;855
"3714";"5. Optimal adjusted";421;126;295;534;466
"3715";"1. Random";403;116;287;517;483
"3716";"6. Biased  coin";440;131;309;500;500
"3717";"2. Neyman known";433;95;338;451;549
"3718";"3. RSIHR Known";462;84;378;361;639
"3719";"4. Rosenberger known";558;43;515;148;852
"3720";"5. Optimal adjusted";380;136;244;566;434
"3721";"1. Random";372;80;292;504;496
"3722";"6. Biased  coin";364;84;280;501;499
"3723";"2. Neyman known";406;83;323;436;564
"3724";"3. RSIHR Known";421;68;353;384;616
"3725";"4. Rosenberger known";511;29;482;147;853
"3726";"5. Optimal adjusted";361;94;267;531;469
"3727";"1. Random";415;105;310;516;484
"3728";"6. Biased  coin";410;111;299;501;499
"3729";"2. Neyman known";428;92;336;450;550
"3730";"3. RSIHR Known";459;64;395;367;633
"3731";"4. Rosenberger known";559;42;517;150;850
"3732";"5. Optimal adjusted";365;104;261;565;435
"3733";"1. Random";433;118;315;485;515
"3734";"6. Biased  coin";408;113;295;500;500
"3735";"2. Neyman known";447;115;332;439;561
"3736";"3. RSIHR Known";476;88;388;356;644
"3737";"4. Rosenberger known";549;28;521;146;854
"3738";"5. Optimal adjusted";404;129;275;538;462
"3739";"1. Random";425;106;319;469;531
"3740";"6. Biased  coin";409;110;299;497;503
"3741";"2. Neyman known";436;107;329;442;558
"3742";"3. RSIHR Known";468;80;388;357;643
"3743";"4. Rosenberger known";547;18;529;113;887
"3744";"5. Optimal adjusted";395;116;279;519;481
"3745";"1. Random";398;99;299;489;511
"3746";"6. Biased  coin";402;106;296;501;499
"3747";"2. Neyman known";396;80;316;442;558
"3748";"3. RSIHR Known";434;65;369;363;637
"3749";"4. Rosenberger known";523;35;488;154;846
"3750";"5. Optimal adjusted";382;120;262;543;457
"3751";"1. Random";396;103;293;503;497
"3752";"6. Biased  coin";408;111;297;501;499
"3753";"2. Neyman known";447;105;342;429;571
"3754";"3. RSIHR Known";453;83;370;372;628
"3755";"4. Rosenberger known";546;36;510;145;855
"3756";"5. Optimal adjusted";412;119;293;518;482
"3757";"1. Random";403;109;294;498;502
"3758";"6. Biased  coin";378;94;284;504;499
"3759";"2. Neyman known";415;98;317;458;542
"3760";"3. RSIHR Known";473;88;385;363;637
"3761";"4. Rosenberger known";532;33;499;139;861
"3762";"5. Optimal adjusted";364;111;253;542;458
"3763";"1. Random";380;87;293;504;496
"3764";"6. Biased  coin";394;105;289;500;500
"3765";"2. Neyman known";424;91;333;443;557
"3766";"3. RSIHR Known";472;78;394;351;649
"3767";"4. Rosenberger known";537;29;508;145;855
"3768";"5. Optimal adjusted";383;111;272;549;451
"3769";"1. Random";413;108;305;489;511
"3770";"6. Biased  coin";404;101;303;500;500
"3771";"2. Neyman known";418;107;311;468;532
"3772";"3. RSIHR Known";455;75;380;354;646
"3773";"4. Rosenberger known";531;28;503;134;866
"3774";"5. Optimal adjusted";363;117;246;564;436
"3775";"1. Random";391;98;293;509;491
"3776";"6. Biased  coin";398;107;291;502;500
"3777";"2. Neyman known";412;85;327;460;540
"3778";"3. RSIHR Known";476;68;408;355;645
"3779";"4. Rosenberger known";555;39;516;138;862
"3780";"5. Optimal adjusted";391;101;290;518;482
"3781";"1. Random";381;92;289;509;491
"3782";"6. Biased  coin";417;109;308;501;500
"3783";"2. Neyman known";420;98;322;465;535
"3784";"3. RSIHR Known";473;76;397;355;645
"3785";"4. Rosenberger known";541;40;501;161;839
"3786";"5. Optimal adjusted";397;120;277;547;453
"3787";"1. Random";391;94;297;485;515
"3788";"6. Biased  coin";377;97;280;501;499
"3789";"2. Neyman known";412;92;320;462;538
"3790";"3. RSIHR Known";433;68;365;357;643
"3791";"4. Rosenberger known";528;28;500;142;858
"3792";"5. Optimal adjusted";404;103;301;501;499
"3793";"1. Random";388;101;287;510;490
"3794";"6. Biased  coin";401;109;292;500;500
"3795";"2. Neyman known";428;84;344;414;586
"3796";"3. RSIHR Known";447;73;374;360;640
"3797";"4. Rosenberger known";534;35;499;166;834
"3798";"5. Optimal adjusted";393;109;284;529;471
"3799";"1. Random";389;101;288;492;508
"3800";"6. Biased  coin";391;99;292;500;500
"3801";"2. Neyman known";403;90;313;454;546
"3802";"3. RSIHR Known";454;86;368;370;630
"3803";"4. Rosenberger known";527;23;504;144;856
"3804";"5. Optimal adjusted";396;112;284;528;472
"3805";"1. Random";390;99;291;505;495
"3806";"6. Biased  coin";372;84;288;501;500
"3807";"2. Neyman known";406;98;308;465;535
"3808";"3. RSIHR Known";450;67;383;336;664
"3809";"4. Rosenberger known";522;29;493;151;849
"3810";"5. Optimal adjusted";373;105;268;539;461
"3811";"1. Random";404;92;312;489;511
"3812";"6. Biased  coin";404;105;299;503;498
"3813";"2. Neyman known";434;103;331;444;556
"3814";"3. RSIHR Known";479;70;409;323;677
"3815";"4. Rosenberger known";539;29;510;146;854
"3816";"5. Optimal adjusted";380;126;254;559;441
"3817";"1. Random";368;83;285;504;496
"3818";"6. Biased  coin";388;95;293;501;500
"3819";"2. Neyman known";422;88;334;450;550
"3820";"3. RSIHR Known";443;69;374;368;632
"3821";"4. Rosenberger known";532;20;512;135;865
"3822";"5. Optimal adjusted";364;103;261;540;460
"3823";"1. Random";411;103;308;512;488
"3824";"6. Biased  coin";405;98;307;503;499
"3825";"2. Neyman known";441;94;347;430;570
"3826";"3. RSIHR Known";461;67;394;361;639
"3827";"4. Rosenberger known";560;20;540;118;882
"3828";"5. Optimal adjusted";393;106;287;540;460
"3829";"1. Random";395;106;289;490;510
"3830";"6. Biased  coin";415;115;300;502;498
"3831";"2. Neyman known";413;92;321;454;546
"3832";"3. RSIHR Known";445;78;367;374;626
"3833";"4. Rosenberger known";544;21;523;110;890
"3834";"5. Optimal adjusted";394;110;284;529;471
"3835";"1. Random";409;84;325;462;538
"3836";"6. Biased  coin";402;106;296;502;500
"3837";"2. Neyman known";440;89;351;432;568
"3838";"3. RSIHR Known";446;78;368;388;612
"3839";"4. Rosenberger known";528;28;500;164;836
"3840";"5. Optimal adjusted";388;92;296;506;494
"3841";"1. Random";415;106;309;489;511
"3842";"6. Biased  coin";418;103;315;504;499
"3843";"2. Neyman known";425;86;339;439;561
"3844";"3. RSIHR Known";489;88;401;362;638
"3845";"4. Rosenberger known";554;29;525;132;868
"3846";"5. Optimal adjusted";396;114;282;545;455
"3847";"1. Random";381;98;283;505;495
"3848";"6. Biased  coin";392;102;290;501;500
"3849";"2. Neyman known";391;92;299;467;533
"3850";"3. RSIHR Known";453;77;376;340;660
"3851";"4. Rosenberger known";519;28;491;130;870
"3852";"5. Optimal adjusted";378;115;263;543;457
"3853";"1. Random";388;104;284;523;477
"3854";"6. Biased  coin";391;98;293;501;500
"3855";"2. Neyman known";432;79;353;422;578
"3856";"3. RSIHR Known";462;71;391;363;637
"3857";"4. Rosenberger known";551;31;520;145;855
"3858";"5. Optimal adjusted";369;107;262;558;442
"3859";"1. Random";404;109;295;500;500
"3860";"6. Biased  coin";400;110;290;501;500
"3861";"2. Neyman known";419;106;313;446;554
"3862";"3. RSIHR Known";437;81;356;365;635
"3863";"4. Rosenberger known";523;28;495;129;871
"3864";"5. Optimal adjusted";362;99;263;530;470
"3865";"1. Random";429;119;310;490;510
"3866";"6. Biased  coin";413;107;306;501;500
"3867";"2. Neyman known";414;96;318;460;540
"3868";"3. RSIHR Known";451;75;376;362;638
"3869";"4. Rosenberger known";541;33;508;134;866
"3870";"5. Optimal adjusted";408;120;288;525;475
"3871";"1. Random";381;93;288;493;507
"3872";"6. Biased  coin";360;80;280;500;500
"3873";"2. Neyman known";418;93;325;446;554
"3874";"3. RSIHR Known";436;65;371;341;659
"3875";"4. Rosenberger known";502;27;475;153;847
"3876";"5. Optimal adjusted";344;107;237;557;443
"3877";"1. Random";393;96;297;505;495
"3878";"6. Biased  coin";397;98;299;500;500
"3879";"2. Neyman known";425;90;335;441;559
"3880";"3. RSIHR Known";449;71;378;360;640
"3881";"4. Rosenberger known";532;32;500;165;835
"3882";"5. Optimal adjusted";389;109;280;525;475
"3883";"1. Random";391;106;285;518;482
"3884";"6. Biased  coin";398;113;285;500;500
"3885";"2. Neyman known";432;101;331;448;552
"3886";"3. RSIHR Known";435;72;363;368;632
"3887";"4. Rosenberger known";522;30;492;152;848
"3888";"5. Optimal adjusted";362;94;268;516;484
"3889";"1. Random";401;117;284;537;463
"3890";"6. Biased  coin";392;103;289;502;499
"3891";"2. Neyman known";397;88;309;474;526
"3892";"3. RSIHR Known";452;80;372;362;638
"3893";"4. Rosenberger known";529;28;501;140;860
"3894";"5. Optimal adjusted";406;105;301;504;496
"3895";"1. Random";399;104;295;489;511
"3896";"6. Biased  coin";383;103;280;503;497
"3897";"2. Neyman known";408;100;308;480;520
"3898";"3. RSIHR Known";460;66;394;352;648
"3899";"4. Rosenberger known";526;27;499;146;854
"3900";"5. Optimal adjusted";367;116;251;552;448
"3901";"1. Random";382;92;290;506;494
"3902";"6. Biased  coin";384;87;297;499;501
"3903";"2. Neyman known";408;94;314;464;536
"3904";"3. RSIHR Known";443;73;370;389;611
"3905";"4. Rosenberger known";530;26;504;151;849
"3906";"5. Optimal adjusted";376;99;277;535;465
"3907";"1. Random";391;98;293;492;508
"3908";"6. Biased  coin";404;107;297;499;501
"3909";"2. Neyman known";422;91;331;452;548
"3910";"3. RSIHR Known";445;72;373;381;619
"3911";"4. Rosenberger known";558;36;522;151;849
"3912";"5. Optimal adjusted";377;108;269;560;440
"3913";"1. Random";380;105;275;499;501
"3914";"6. Biased  coin";405;121;284;497;503
"3915";"2. Neyman known";398;96;302;442;558
"3916";"3. RSIHR Known";435;82;353;350;650
"3917";"4. Rosenberger known";516;38;478;150;850
"3918";"5. Optimal adjusted";382;124;258;531;469
"3919";"1. Random";410;102;308;488;512
"3920";"6. Biased  coin";374;93;281;500;500
