"";"Model";"Successes";"Successes_A";"Successes_B";"Allocated_A";"Allocated_B"
"1968";"5. Optimal adjusted";389;118;271;559;441
"1969";"1. Random";420;107;313;496;504
"1970";"6. Biased  coin";400;104;296;500;501
"1971";"2. Neyman known";406;74;332;431;569
"1972";"3. RSIHR Known";469;80;389;368;632
"1973";"4. Rosenberger known";553;38;515;141;859
"1974";"5. Optimal adjusted";366;110;256;536;464
"1975";"1. Random";393;98;295;494;506
"1976";"6. Biased  coin";393;94;299;501;499
"1977";"2. Neyman known";398;88;310;461;539
"1978";"3. RSIHR Known";446;73;373;351;649
"1979";"4. Rosenberger known";544;27;517;130;870
"1980";"5. Optimal adjusted";364;99;265;540;460
"1981";"1. Random";381;97;284;515;485
"1982";"6. Biased  coin";418;104;314;500;500
"1983";"2. Neyman known";403;99;304;458;542
"1984";"3. RSIHR Known";457;77;380;352;648
"1985";"4. Rosenberger known";531;30;501;159;841
"1986";"5. Optimal adjusted";392;115;277;531;469
"1987";"1. Random";400;108;292;501;499
"1988";"6. Biased  coin";395;107;288;500;500
"1989";"2. Neyman known";411;82;329;453;547
"1990";"3. RSIHR Known";467;68;399;329;671
"1991";"4. Rosenberger known";525;25;500;132;868
"1992";"5. Optimal adjusted";375;100;275;526;474
"1993";"1. Random";407;99;308;492;508
"1994";"6. Biased  coin";412;109;303;501;499
"1995";"2. Neyman known";409;81;328;442;558
"1996";"3. RSIHR Known";468;78;390;363;637
"1997";"4. Rosenberger known";550;21;529;119;881
"1998";"5. Optimal adjusted";403;119;284;534;466
"1999";"1. Random";402;105;297;491;509
"2000";"6. Biased  coin";408;112;296;500;501
"2001";"2. Neyman known";422;104;318;451;549
"2002";"3. RSIHR Known";420;65;355;378;622
"2003";"4. Rosenberger known";536;32;504;147;853
"2004";"5. Optimal adjusted";378;113;265;545;455
"2005";"1. Random";414;122;292;528;472
"2006";"6. Biased  coin";409;108;301;500;500
"2007";"2. Neyman known";419;95;324;459;541
"2008";"3. RSIHR Known";465;82;383;361;639
"2009";"4. Rosenberger known";561;31;530;132;868
"2010";"5. Optimal adjusted";398;110;288;527;473
"2011";"1. Random";422;101;321;480;520
"2012";"6. Biased  coin";390;99;291;500;500
"2013";"2. Neyman known";423;89;334;432;568
"2014";"3. RSIHR Known";460;87;373;360;640
"2015";"4. Rosenberger known";539;28;511;137;863
"2016";"5. Optimal adjusted";386;109;277;534;466
"2017";"1. Random";423;96;327;482;518
"2018";"6. Biased  coin";405;102;303;502;501
"2019";"2. Neyman known";450;105;345;432;568
"2020";"3. RSIHR Known";477;82;395;350;650
"2021";"4. Rosenberger known";548;27;521;127;873
"2022";"5. Optimal adjusted";401;128;273;550;450
"2023";"1. Random";396;111;285;483;517
"2024";"6. Biased  coin";386;106;280;500;500
"2025";"2. Neyman known";421;111;310;448;552
"2026";"3. RSIHR Known";435;75;360;366;634
"2027";"4. Rosenberger known";513;33;480;145;855
"2028";"5. Optimal adjusted";387;118;269;536;464
"2029";"1. Random";381;97;284;499;501
"2030";"6. Biased  coin";399;111;288;500;501
"2031";"2. Neyman known";392;87;305;460;540
"2032";"3. RSIHR Known";456;77;379;370;630
"2033";"4. Rosenberger known";538;34;504;135;865
"2034";"5. Optimal adjusted";389;110;279;518;482
"2035";"1. Random";406;114;292;532;468
"2036";"6. Biased  coin";389;91;298;501;500
"2037";"2. Neyman known";425;84;341;444;556
"2038";"3. RSIHR Known";460;78;382;357;643
"2039";"4. Rosenberger known";555;21;534;127;873
"2040";"5. Optimal adjusted";404;99;305;532;468
"2041";"1. Random";401;106;295;502;498
"2042";"6. Biased  coin";386;92;294;501;500
"2043";"2. Neyman known";423;85;338;439;561
"2044";"3. RSIHR Known";467;78;389;361;639
"2045";"4. Rosenberger known";545;20;525;125;875
"2046";"5. Optimal adjusted";383;116;267;558;442
"2047";"1. Random";401;100;301;494;506
"2048";"6. Biased  coin";390;98;292;499;501
"2049";"2. Neyman known";408;95;313;471;529
"2050";"3. RSIHR Known";450;74;376;362;638
"2051";"4. Rosenberger known";535;25;510;137;863
"2052";"5. Optimal adjusted";413;111;302;514;486
"2053";"1. Random";415;119;296;517;483
"2054";"6. Biased  coin";432;130;302;499;502
"2055";"2. Neyman known";418;93;325;434;566
"2056";"3. RSIHR Known";448;85;363;364;636
"2057";"4. Rosenberger known";521;27;494;135;865
"2058";"5. Optimal adjusted";406;129;277;522;478
"2059";"1. Random";405;105;300;501;499
"2060";"6. Biased  coin";389;96;293;502;498
"2061";"2. Neyman known";404;95;309;467;533
"2062";"3. RSIHR Known";421;68;353;387;613
"2063";"4. Rosenberger known";531;29;502;133;867
"2064";"5. Optimal adjusted";368;129;239;569;431
"2065";"1. Random";409;113;296;514;486
"2066";"6. Biased  coin";414;105;309;501;500
"2067";"2. Neyman known";427;86;341;438;562
"2068";"3. RSIHR Known";475;79;396;370;630
"2069";"4. Rosenberger known";552;32;520;151;849
"2070";"5. Optimal adjusted";397;124;273;563;437
"2071";"1. Random";397;108;289;488;512
"2072";"6. Biased  coin";393;100;293;500;500
"2073";"2. Neyman known";414;103;311;463;537
"2074";"3. RSIHR Known";429;64;365;358;642
"2075";"4. Rosenberger known";515;30;485;146;854
"2076";"5. Optimal adjusted";373;111;262;529;471
"2077";"1. Random";394;110;284;507;493
"2078";"6. Biased  coin";386;94;292;500;500
